code,name,description,academicYear,level
GEOL502,Évaluation des gisements et calcul des réserves,tronc commun,2024-2025,m2_environnement
GEOL503,Géologie des terrains superficiels,tronc commun,2024-2025,m2_environnement
GEOL515,Contrôle géologique des exploitations minières,tronc commun,2024-2025,m2_environnement
PROJ550,Rédaction et défense d'un mémoire,tronc commun,2024-2025,m2_environnement
SSHA401,Éthique et professionnalisme,tronc commun,2024-2025,m2_environnement
SSHA410,Responsabilité sociétale des entreprises,tronc commun,2024-2025,m2_environnement
STAG502,Stage en entreprise,tronc commun,2024-2025,m2_environnement
GEOL551,Barrages et aménagements hydrauliques,Étude de la conception et de la gestion des barrages et infrastructures hydrauliques,2024-2025,m2_environnement
GEOL552,Aménagement et gestion des ressources en eau,Techniques de planification et de gestion durable des ressources en eau,2024-2025,m2_environnement
GEOL553,Hydrogéologie minière,Analyse des eaux souterraines et impacts liés aux activités minières,2024-2025,m2_environnement
GEOL554,Hydrogéologie des contaminants,Étude de la pollution des nappes et du transport des contaminants,2024-2025,m2_environnement
PROJ551,Projet de modélisation hydrogéologique,Développement de modèles pour simuler le comportement des eaux souterraines,2024-2025,m2_environnement
